110,6,10,10,17,7,17,4,17,9
40,11,9,1,0,3,6,2,6,5
60,11,20,26,12,27,6,11,22,13
71,15,7,5,6,4,8,9,13,11
75,7,10,25,16,10,7,13,26,15
22,3,4,2,1,2,4,1,3,0
35,0,2,1,3,0,1,1,4,6
30,4,0,8,1,5,5,0,5,6
22,2,12,12,5,5,3,4,9,11
11,2,3,2,1,0,1,1,1,0
5,4,4,2,1,5,1,1,2,2
41,6,7,1,2,0,7,2,2,3
56,10,11,10,8,13,11,20,26,15
43,6,1,3,1,0,6,2,2,2
35,2,3,1,3,2,5,2,2,0
40,6,10,4,8,2,4,5,12,7
101,20,10,15,4,3,8,7,27,11
139,10,2,9,8,1,10,7,13,15
52,8,5,11,3,5,7,9,12,8
30,0,6,0,2,1,4,6,4,4
54,5,7,13,4,9,2,9,23,4
48,3,4,11,7,7,8,22,17,11
33,17,18,9,9,23,8,6,11,3
13,0,1,1,0,2,2,1,2,0
9,1,3,3,0,0,0,1,3,1
34,1,5,0,3,5,2,4,6,6
44,2,4,22,4,6,11,2,10,4
72,2,4,3,2,1,14,5,6,4
182,13,11,8,11,8,22,26,20,21
38,2,0,2,0,1,13,0,1,3
14,1,4,2,0,0,0,4,2,3
21,3,13,3,1,1,5,4,9,5
31,4,1,0,2,2,3,9,12,2
73,7,11,11,11,3,5,9,9,19
91,5,9,11,6,2,14,9,13,14
94,3,4,9,6,3,12,3,6,10
34,1,0,1,3,1,7,2,7,5
25,5,11,3,3,3,4,1,9,2
39,4,14,2,4,2,6,3,6,8
111,7,9,16,12,7,19,25,19,20
85,0,6,1,0,0,5,1,24,11
29,0,6,1,1,1,5,4,5,4
22,12,13,6,3,4,1,1,12,5
44,1,4,3,1,0,9,5,7,5
53,1,1,6,3,7,7,0,5,1
23,8,6,0,4,1,0,4,5,5
17,0,0,6,0,2,2,2,7,2
30,3,4,1,1,2,3,9,4,3
69,2,1,14,3,2,13,4,3,5
56,2,0,1,7,5,14,2,1,6
36,2,3,6,6,6,6,4,11,3
25,5,2,1,1,0,4,3,10,0
44,6,13,2,2,3,11,5,10,7
39,7,3,0,0,2,3,4,3,3
14,0,5,2,0,0,2,0,2,0
30,4,5,5,6,4,0,8,3,5
28,8,19,4,6,3,0,0,12,4
29,4,3,3,0,3,4,7,10,10
20,1,0,0,0,0,5,0,3,0
83,7,0,10,11,15,15,4,16,24
117,19,19,10,13,6,15,7,21,22
51,4,5,2,4,4,7,9,11,10
17,4,4,2,10,2,5,6,8,4
